@relation user_Type_Note_StarWars_65-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last

@attribute userID {1,2,4,5,6,8,10,12,13,14,15,21,23,25,26,27,28,30,37,42,43,45,46,48,49,51,53,54,55,56,58,59,60,62,63,64,65,66,68,69,70,71,72,77,79,80,85,87,89,91,92,94,96,97,99,101,102,103,104,108,113,115,116,117,119,123,124,125,128,130,132,137,141,144,145,148,150,151,153,154,157,158,160,161,162,169,174,175,176,177,178,182,184,189,192,194,198,200,201,203,209,210,213,214,215,216,217,221,227,230,231,233,234,235,236,239,244,245,247,248,250,251,253,254,257,262,263,265,267,268,269,270,271,272,274,275,276,277,279,280,283,286,287,288,290,292,293,294,295,296,297,299,301,303,305,308,310,311,313,316,318,320,321,322,323,324,325,326,327,330,334,337,339,340,343,345,346,347,350,352,354,360,363,367,368,369,370,371,373,374,378,379,381,382,385,386,387,389,392,393,394,395,397,398,399,401,402,405,406,407,409,411,413,416,417,419,421,422,424,426,429,430,432,433,435,437,438,444,445,453,454,456,457,458,461,463,465,467,470,471,474,475,478,479,481,482,484,487,488,490,493,494,495,496,498,499,500,503,504,505,506,509,513,514,516,517,521,523,524,526,527,528,530,533,536,537,539,540,541,549,550,551,552,557,561,563,564,569,573,575,576,581,582,592,593,594,597,600,602,608,610,618,619,622,623,624,629,630,632,634,637,638,641,642,643,644,650,653,654,655,658,659,660,662,663,664,669,672,674,676,678,682,691,694,698,700,701,703,704,705,706,708,710,711,714,717,719,721,727,730,736,744,746,747,748,751,753,757,758,760,761,768,789,791,794,797,799,825,826,830,833,835,844,851,862,864,880,883,891}
@attribute Note {1,2,3,4,5}
@attribute 'type 1' {0}
@attribute 'type 2' {1}
@attribute 'type 3' {1}
@attribute 'type 4' {0}
@attribute 'type 5' {0}
@attribute 'type 6' {0}
@attribute 'type 7' {0}
@attribute 'type 8' {0}
@attribute 'type 9' {0}
@attribute 'type 10' {0}
@attribute 'type 11' {0}
@attribute 'type 12' {0}
@attribute 'type 13' {0}
@attribute 'type 14' {0}
@attribute 'type 15' {1}
@attribute 'type 16' {1}
@attribute 'type 17' {0}
@attribute 'type 18' {1}
@attribute 'type 19' {0}

@data
290,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
79,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
2,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
8,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
274,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
227,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
99,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
305,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
108,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
63,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
234,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
97,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
117,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
70,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
318,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
145,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
124,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
253,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
271,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
254,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
326,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
213,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
80,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
322,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
28,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
267,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
